dataset,seed,fitness_method,accuracy,macro_f1,mean_per_class_accuracy
syn_bin_imbalanced_high_overlap,3,f1_score,0.44285714285714284,0.41077723686419343,0.5338983050847458
syn_bin_imbalanced_high_overlap,3,pearson_r2,0.7238095238095238,0.5341187270501836,0.5403184386235234
syn_bin_imbalanced_high_overlap,4,accuracy,0.8285714285714286,0.453125,0.5
syn_bin_imbalanced_high_overlap,4,f1_score,0.6047619047619047,0.5083354489295083,0.5522030651340997
syn_bin_imbalanced_high_overlap,4,pearson_r2,0.5619047619047619,0.44616443068455447,0.46024904214559387
syn_bin_imbalanced_high_overlap,5,accuracy,0.8476190476190476,0.4587628865979381,0.5
syn_bin_imbalanced_high_overlap,5,f1_score,0.7142857142857143,0.5367647058823529,0.5495084269662922
syn_bin_imbalanced_high_overlap,5,pearson_r2,0.8380952380952381,0.5502645502645502,0.5456460674157304
syn_bin_imbalanced_high_overlap,6,accuracy,0.8380952380952381,0.45595854922279794,0.5
syn_bin_imbalanced_high_overlap,6,f1_score,0.5380952380952381,0.4746073095870625,0.558322192513369
syn_bin_imbalanced_high_overlap,6,pearson_r2,0.7095238095238096,0.5149748210972701,0.5182152406417112
syn_bin_imbalanced_high_overlap,7,accuracy,0.8333333333333334,0.45454545454545453,0.5
syn_bin_imbalanced_high_overlap,7,f1_score,0.34285714285714286,0.33416046319272125,0.48
syn_bin_imbalanced_high_overlap,7,pearson_r2,0.6047619047619047,0.5273220338983051,0.6028571428571429
syn_3c_imbalanced_high_overlap,0,accuracy,0.6791666666666667,0.3202878992352676,0.3611111111111111
syn_3c_imbalanced_high_overlap,0,f1_score,0.6708333333333333,0.26766417290108063,0.3333333333333333
syn_3c_imbalanced_high_overlap,0,pearson_r2,0.7,0.44842454394693193,0.47551289290419724
syn_3c_imbalanced_high_overlap,1,accuracy,0.6125,0.26558265582655827,0.30246913580246915
syn_3c_imbalanced_high_overlap,1,f1_score,0.6791666666666667,0.3190584278510676,0.35678702930164924
