dataset,seed,fitness_method,class_label,per_class_accuracy
syn_bin_balanced,0,accuracy,0,0.9325842696629213
syn_bin_balanced,0,accuracy,1,0.8351648351648352
syn_bin_balanced,0,f1_score,0,0.898876404494382
syn_bin_balanced,0,f1_score,1,0.9230769230769231
syn_bin_balanced,0,pearson_r2,0,0.9101123595505618
syn_bin_balanced,0,pearson_r2,1,0.8351648351648352
syn_bin_balanced,1,accuracy,0,0.6179775280898876
syn_bin_balanced,1,accuracy,1,0.9340659340659341
syn_bin_balanced,1,f1_score,0,0.5056179775280899
syn_bin_balanced,1,f1_score,1,0.9230769230769231
syn_bin_balanced,1,pearson_r2,0,0.7303370786516854
syn_bin_balanced,1,pearson_r2,1,0.8351648351648352
syn_bin_balanced,2,accuracy,0,0.6521739130434783
syn_bin_balanced,2,accuracy,1,0.8863636363636364
syn_bin_balanced,2,f1_score,0,0.7934782608695652
syn_bin_balanced,2,f1_score,1,0.8409090909090909
syn_bin_balanced,2,pearson_r2,0,0.7934782608695652
syn_bin_balanced,2,pearson_r2,1,0.8409090909090909
syn_bin_balanced,3,accuracy,0,0.8764044943820225
syn_bin_balanced,3,accuracy,1,0.6483516483516484
syn_bin_balanced,3,f1_score,0,0.5617977528089888
syn_bin_balanced,3,f1_score,1,0.7472527472527473
syn_bin_balanced,3,pearson_r2,0,0.7078651685393258
syn_bin_balanced,3,pearson_r2,1,0.6813186813186813
syn_bin_balanced,4,accuracy,0,0.7692307692307693
syn_bin_balanced,4,accuracy,1,0.7752808988764045
syn_bin_balanced,4,f1_score,0,0.7802197802197802
syn_bin_balanced,4,f1_score,1,0.797752808988764
syn_bin_balanced,4,pearson_r2,0,0.7582417582417582
syn_bin_balanced,4,pearson_r2,1,0.8651685393258427
syn_bin_balanced,5,accuracy,0,0.6333333333333333
syn_bin_balanced,5,accuracy,1,0.9111111111111111
syn_bin_balanced,5,f1_score,0,0.5555555555555556
syn_bin_balanced,5,f1_score,1,0.9333333333333333
syn_bin_balanced,5,pearson_r2,0,0.7222222222222222
syn_bin_balanced,5,pearson_r2,1,0.8222222222222222
syn_bin_balanced,6,accuracy,0,0.8539325842696629
syn_bin_balanced,6,accuracy,1,0.6483516483516484
syn_bin_balanced,6,f1_score,0,0.39325842696629215
syn_bin_balanced,6,f1_score,1,0.9230769230769231
syn_bin_balanced,6,pearson_r2,0,0.7865168539325843
syn_bin_balanced,6,pearson_r2,1,0.8901098901098901
syn_bin_balanced,7,accuracy,0,0.7640449438202247
syn_bin_balanced,7,accuracy,1,0.8351648351648352
syn_bin_balanced,7,f1_score,0,0.651685393258427
syn_bin_balanced,7,f1_score,1,0.9230769230769231
syn_bin_balanced,7,pearson_r2,0,0.7752808988764045
syn_bin_balanced,7,pearson_r2,1,0.8131868131868132
syn_bin_imbalanced,0,accuracy,0,1.0
syn_bin_imbalanced,0,accuracy,1,0.0
syn_bin_imbalanced,0,f1_score,0,0.949685534591195
syn_bin_imbalanced,0,f1_score,1,0.5238095238095238
syn_bin_imbalanced,0,pearson_r2,0,0.89937106918239
